,Description,Sentiment,Subject
1348,"Akoustis Technologies, Inc. (NASDAQ:AKTS &#8211; Get Free Report) was the target of a significant drop in short interest in June. As of June 30th, there was short interest totalling 6,150,000 shares, a drop of 17.6% from the June 15th total of 7,460,000 shares. Based on an average trading volume of 14,030,000 shares, the short-interest ratio [&#8230;]",positive,
1349,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management increased its position in ServiceNow, Inc. (NYSE:NOW &#8211; Free Report) by 375.6% in the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 1,365 shares of the information technology services provider&#8217;s stock after purchasing an additional 1,078 shares during the quarter. Empirical Financial Services LLC d.b.a. Empirical Wealth [&#8230;]",positive,
1350,"Oppenheimer & Co. Inc. raised its stake in Arista Networks, Inc. (NYSE:ANET &#8211; Free Report) by 140.4% during the 1st quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 19,216 shares of the technology company&#8217;s stock after purchasing an additional 11,224 shares during the quarter. Oppenheimer & Co. [&#8230;]",positive,
1351,Align Technology: The Short-Sellers Are Wrong,negative,
1352,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management lifted its position in Trane Technologies plc (NYSE:TT &#8211; Free Report) by 10.4% during the 1st quarter, Holdings Channel reports. The firm owned 1,883 shares of the company&#8217;s stock after buying an additional 178 shares during the quarter. Empirical Financial Services LLC d.b.a. Empirical Wealth Management&#8217;s holdings [&#8230;]",positive,
1353,"Kotak Mahindra Bank To Use Technology To Drive Growth After RBI Action, Says CEO Vaswani",positive,
1354,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management boosted its stake in shares of Twilio Inc. (NYSE:TWLO &#8211; Free Report) by 12.1% during the first quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 11,211 shares of the technology company&#8217;s stock after purchasing [&#8230;]",positive,
1355,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management grew its stake in shares of Medtronic plc (NYSE:MDT &#8211; Free Report) by 39.1% in the 1st quarter, Holdings Channel reports. The institutional investor owned 7,869 shares of the medical technology company&#8217;s stock after buying an additional 2,211 shares during the quarter. Empirical Financial Services LLC d.b.a. [&#8230;]",positive,
1356,Autoscope Technologies (NASDAQ:AATC) Shares Up 1%,neutral,
1357,Sangoma Technologies (OTCMKTS:SAMOF) Shares Up 2%,neutral,
1358,"Sangoma Technologies Co. (OTCMKTS:SAMOF &#8211; Get Free Report)&#8217;s stock price rose 2% on Friday . The company traded as high as $4.86 and last traded at $4.79. Approximately 8,809 shares changed hands during trading, an increase of 698% from the average daily volume of 1,104 shares. The stock had previously closed at $4.69. Sangoma Technologies [&#8230;]",positive,
1359,"Advantest (OTCMKTS:ATEYY &#8211; Get Free Report) and e.Digital (OTCMKTS:EDIG &#8211; Get Free Report) are both computer and technology companies, but which is the superior investment? We will contrast the two companies based on the strength of their dividends, analyst recommendations, valuation, profitability, institutional ownership, risk and earnings. Profitability This table compares Advantest and e.Digital&#8217;s net [&#8230;]",positive,
1361,"NeoMagic (OTCMKTS:NMGC &#8211; Get Free Report) and Enphase Energy (NASDAQ:ENPH &#8211; Get Free Report) are both computer and technology companies, but which is the better stock? We will contrast the two companies based on the strength of their dividends, earnings, analyst recommendations, profitability, institutional ownership, valuation and risk. Earnings & Valuation This table compares NeoMagic [&#8230;]",positive,
1363,BM Technologies (NYSE:BMTX) Trading Up 14.8%,neutral,
1364,"Blockchain Technologies ETF (TSE:HBLK &#8211; Get Free Report)&#8217;s stock price shot up 0.4% on Friday . The company traded as high as C$16.85 and last traded at C$16.84. 2,633 shares changed hands during mid-day trading, a decline of 38% from the average session volume of 4,217 shares. The stock had previously closed at C$16.77. Blockchain [&#8230;]",positive,
1365,"Quantbot Technologies LP Purchases 14,422 Shares of Walmart Inc. (NYSE:WMT)",neutral,
1366,"During Seton Hall University’s April 22, 2024 panel on defense data analytics, the Army 353rd Civil Affairs Command’s Capt. Venkatesh Srinivasan described how his military service and civilian career complement each other. The experience of being in the Army benefits his civilian work and his civilian work qualifies him for the specific role he holds in the Army: 38G6R – Civil Affairs Technology and Telecommunications officer.",negative,
1368,"Wealthspire Advisors LLC raised its holdings in Evolv Technologies Holdings, Inc. (NASDAQ:EVLV &#8211; Free Report) by 49.2% during the 1st quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 18,194 shares of the company&#8217;s stock after buying an additional 6,003 shares during the quarter. Wealthspire Advisors LLC&#8217;s [&#8230;]",positive,
1369,"Wealthspire Advisors LLC trimmed its position in AMETEK, Inc. (NYSE:AME &#8211; Free Report) by 15.1% during the first quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The institutional investor owned 1,187 shares of the technology company&#8217;s stock after selling 211 shares during the quarter. Wealthspire [&#8230;]",positive,
1370,"SG Americas Securities LLC raised its stake in Fortive Co. (NYSE:FTV &#8211; Free Report) by 181.4% in the first quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The fund owned 64,549 shares of the technology company&#8217;s stock after acquiring an additional 41,612 shares during the quarter. SG [&#8230;]",positive,
1372,"Wealthspire Advisors LLC Sells 555 Shares of Keysight Technologies, Inc. (NYSE:KEYS)",neutral,
1373,"Wealthspire Advisors LLC lessened its stake in shares of Keysight Technologies, Inc. (NYSE:KEYS &#8211; Free Report) by 25.0% during the first quarter, Holdings Channel reports. The fund owned 1,664 shares of the scientific and technical instruments company&#8217;s stock after selling 555 shares during the quarter. Wealthspire Advisors LLC&#8217;s holdings in Keysight Technologies were worth $260,000 [&#8230;]",positive,
1374,"SG Americas Securities LLC lifted its position in SBA Communications Co. (NASDAQ:SBAC &#8211; Free Report) by 191.3% during the first quarter, HoldingsChannel.com reports. The fund owned 25,828 shares of the technology company&#8217;s stock after acquiring an additional 16,962 shares during the period. SG Americas Securities LLC&#8217;s holdings in SBA Communications were worth $5,597,000 at the [&#8230;]",positive,
1375,"Quisitive Technology Solutions, Inc. (OTCMKTS:QUISF &#8211; Get Free Report) shares traded up 3.3% on Friday . The company traded as high as $0.22 and last traded at $0.22. 15,369 shares were traded during trading, a decline of 47% from the average session volume of 29,246 shares. The stock had previously closed at $0.21. Quisitive Technology [&#8230;]",positive,
1377,"Wealthspire Advisors LLC lessened its stake in shares of Medtronic plc (NYSE:MDT &#8211; Free Report) by 10.2% in the 1st quarter, HoldingsChannel.com reports. The fund owned 9,927 shares of the medical technology company&#8217;s stock after selling 1,123 shares during the period. Wealthspire Advisors LLC&#8217;s holdings in Medtronic were worth $865,000 at the end of the [&#8230;]",positive,
1378,Ping An Healthcare and Technology (OTCMKTS:PANHF) Stock Price Down 40.6%,negative,
1379,"Ping An Healthcare and Technology Company Limited (OTCMKTS:PANHF &#8211; Get Free Report) shares fell 40.6% on Friday . The company traded as low as $0.86 and last traded at $0.86. 1,400 shares were traded during mid-day trading, an increase of 82% from the average session volume of 771 shares. The stock had previously closed at [&#8230;]",positive,
1380,"Quantbot Technologies LP acquired a new position in M/I Homes, Inc. (NYSE:MHO &#8211; Free Report) during the first quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm acquired 7,444 shares of the construction company&#8217;s stock, valued at approximately $1,015,000. A number of other hedge [&#8230;]",positive,
1381,"Wealthspire Advisors LLC grew its position in ServiceNow, Inc. (NYSE:NOW &#8211; Free Report) by 3.4% during the first quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor owned 1,683 shares of the information technology services provider&#8217;s stock after purchasing an additional 56 shares during the quarter. Wealthspire Advisors [&#8230;]",positive,
1382,"Wealthspire Advisors LLC reduced its position in Teleflex Incorporated (NYSE:TFX &#8211; Free Report) by 1.9% during the first quarter, HoldingsChannel.com reports. The firm owned 6,285 shares of the medical technology company&#8217;s stock after selling 123 shares during the period. Wealthspire Advisors LLC&#8217;s holdings in Teleflex were worth $1,421,000 at the end of the most recent [&#8230;]",positive,
1383,SG Americas Securities LLC Has $4.61 Million Holdings in Zebra Technologies Co. (NASDAQ:ZBRA),neutral,
1384,"SG Americas Securities LLC boosted its position in Zebra Technologies Co. (NASDAQ:ZBRA &#8211; Free Report) by 105.5% in the 1st quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 15,300 shares of the industrial products company&#8217;s stock after buying an additional [&#8230;]",positive,
